Year;Energy (PetaJoules);Energy (TWh)
1800;55.07;19.63648182
1801;55.07;19.63648182
1802;55.07;19.63648182
1803;55.07;19.63648182
1804;55.07;19.63648182
1805;55.07;19.63648182
1806;55.07;19.63648182
1807;55.07;19.63648182
1808;56.347;20.09182569
1809;57.673;20.56464165
1810;58.998;21.03710104
1811;60.323;21.50956043
1812;61.189;21.81835275
1813;61.189;21.81835275
1814;61.189;21.81835275
1815;61.189;21.81835275
1816;61.189;21.81835275
1817;61.189;21.81835275
1818;61.582;21.95848599
1819;62.542;22.30079618
1820;63.502;22.64310638
1821;64.461;22.98506
1822;65.421;23.3273702
1823;66.381;23.6696804
1824;67.344;24.01306031
1825;68.414;24.39459355
1826;69.485;24.77648337
1827;70.555;25.15801661
1828;71.625;25.53954985
1829;72.696;25.92143966
1830;73.427;26.18209461
1831;73.427;26.18209461
1832;73.427;26.18209461
1833;73.427;26.18209461
1834;73.427;26.18209461
1835;74.925;26.71624115
1836;77.065;27.47930763
1837;79.206;28.24273068
1838;81.347;29.00615374
1839;83.487;29.76922022
1840;85.628;30.53264327
1841;84.144;30.00348876
1842;82.598;29.45222671
1843;81.052;28.90096467
1844;79.572;28.37323645
1845;80.602;28.74050676
1846;81.633;29.10813365
1847;82.664;29.47576054
1848;83.694;29.84303085
1849;84.725;30.21065774
1850;85.829;30.60431447
1851;87.684;31.26575761
1852;89.54;31.92755732
1853;91.395;32.58900047
1854;94.717;33.77353638
1855;98.428;35.09677923
1856;102.138;36.41966551
1857;104.021;37.0910927
1858;104.021;37.0910927
1859;104.021;37.0910927
1860;104.021;37.0910927
1861;105.637;37.66731487
1862;107.777;38.43038135
1863;109.918;39.1938044
1864;115.485;41.17884697
1865;121.449;43.30544907
1866;127.412;45.43169459
1867;130.665;46.59162696
1868;133.315;47.53654573
1869;135.966;48.48182108
1870;138.616;49.42673985
1871;140.734;50.18196172
1872;140.734;50.18196172
1873;140.734;50.18196172
1874;140.734;50.18196172
1875;149.109;53.16826162
1876;158.385;56.47583389
1877;160.927;57.38224277
1878;162.915;58.09111013
1879;164.903;58.7999775
1880;169.363;60.39029362
1881;174.274;62.14142423
1882;179.185;63.89255483
1883;183.294;65.35771378
1884;180.764;64.45558379
1885;178.234;63.55345379
1886;183.841;65.55275928
1887;193.117;68.86033156
1888;201.923;72.00031447
1889;201.923;72.00031447
1890;201.923;72.00031447
1891;201.923;72.00031447
1892;202.593;72.23921846
1893;204.734;73.00264151
1894;206.874;73.765708
1895;211.837;75.5353804
1896;220.186;78.51240939
1897;226.399;80.7277982
1898;226.399;80.7277982
1899;235.087;83.82570548
1900;244.363;87.13327776
1901;238.092;84.89720771
1902;234.098;83.47305466
1903;242.049;86.30816755
1904;250;89.14328045
1905;258.111;92.03544504
1906;267.387;95.34301731
1907;276.664;98.65094616
1908;285.94;101.9585184
1909;295.216;105.2660907
1910;304.493;108.5740196
1911;320.594;114.3152034
1912;366.976;130.8537779
1913;397.315;141.6718499
1914;354.895;126.5460181
1915;354.895;126.5460181
1916;311.533;111.0842943
1917;268.466;95.72775971
1918;258.14;92.04578566
1919;324.98;115.8791331
1920;327.51;116.7812631
1921;330.04;117.6833931
1922;373.252;133.0916309
1923;375.149;133.7680501
1924;396.021;141.2104443
1925;416.893;148.6528385
1926;440.912;157.2173683
1927;468.742;167.1407982
1928;497.747;177.4832016
1929;530.215;189.0604178
1930;523.674;186.728073
1931;514.398;183.4205007
1932;506.388;180.56435
1933;504.066;179.7363872
1934;509.632;181.7210732
1935;518.944;185.0414821
1936;541.714;193.1606521
1937;564.483;201.2794655
1938;580.176;206.8751675
1939;587.942;209.6443144
1940;468.746;167.1422245
1941;453.761;161.7989763
1942;438.776;156.4557281
1943;404.764;144.3279631
1944;326.842;116.5430723
1945;284.381;101.4026209
1946;509.779;181.7734894
1947;600.224;214.0237454
1948;650.451;231.9333436
1949;654.426;233.3507218
1950;652.798;232.7702208
1951;699.18;249.3087953
1952;705.083;251.4136464
1953;696.67;248.4137968
1954;724.499;258.3368702
1955;752.328;268.2599436
1956;839.816;299.4558128
1957;842.508;300.4157077
1958;831.65;296.5440367
1959;865.045;308.4517961
1960;889.12;317.036294
1961;898.397;320.3442229
1962;1006.621;358.9339924
1963;1092.038;389.3913988
1964;1122.65;400.3068152
1965;1160.94;413.96
1966;1254.253;443.378
1967;1302.307;468.8
1968;1481.005;524.392
1969;1620.994;584.768
1970;1831.664;659.776
1971;1925.565;695.748
1972;2129.841;808.119
1973;2241.158;859.616
1974;2190.371;815.762
1975;2160.942;822.314
1976;2291.756;896.831
1977;2310.654;880.734
1978;2449.576;898.437
1979;2606.143;928.206
1980;2426.659;871.521
1981;2200.934;826.432
1982;2085.621;764.074
1983;2154.964;767.757
1984;2244.636;797.141
1985;2355.872;822.433
1986;2434.479;863.159
1987;2403.867;880.931
1988;2386.599;883.802
1989;2414.428;887.835
1990;2480.441;910.223
1991;2584.109;927.52
1992;2556.28;938.531
1993;2528.451;946.326
1994;2675.324;936.123
1995;2720.034;974.228
1996;2885.321;1016.225
1997;2817.736;997.999
1998;2759.38;1004.921
1999;2772.294;992.675
2000;2947.889;1005.576
2001;3012.336;1044.132
2002;3063.713;1044.333
2003;3115.09;1051.4
2004;3154.872;1086.561
2005;3121.403;1108.981
2006;3041.891;1086.196
2007;3015.687;1104.569
2008;3010.255689;1090.664
2009;2893.337018;1074.866
2010;2496.220887;1137.616
2011;2815.504391;1088.851
2012;2635.786185;1053.201
2013;2641.120509;1021.773
2014;2665.270446;965.058
2015;2730.494673;976.851
2016;2750.571126;994.152
;;980.789
;;979.474
;;975.325
