En/CapFrance,GDP/CapFrance,ModelFrance
1.7019053381573397e-09,0.1809,19.36827239357215
1.7052033354649811e-09,0.1953,20.446660624416285
1.70830655847018e-09,0.1875,19.862303127970442
1.711313792886258e-09,0.1934,20.304276142352663
1.7136971937500155e-09,0.1986,20.694044936776653
1.705287482189672e-09,0.1898,20.034563113724552
1.696756177486657e-09,0.1949,20.41667927667192
1.68810629107199e-09,0.1908,20.10946563043539
1.6837066037428873e-09,0.1897,20.02707014537724
1.6842256987681547e-09,0.1946,20.394196954782597
1.6845342701887365e-09,0.1898,20.034563113724552
1.6846948185629115e-09,0.1926,20.244329281784275
1.6849726605617085e-09,0.2091,21.481809226623525
1.7063104960398679e-09,0.2053,21.196601379256286
1.7456464230011716e-09,0.2056,21.219113336093432
1.7847376030533921e-09,0.2125,21.73707911058625
1.8236760277424898e-09,0.209,21.47429839462426
1.8623915273817455e-09,0.2118,21.684516428172437
1.8616233681430392e-09,0.2211,22.383208422023557
1.8531876088181427e-09,0.213,21.774638896928977
1.8449793344189137e-09,0.2276,22.871942097478993
1.8597457618519598e-09,0.2321,23.210486720288486
1.8841799630956252e-09,0.226,22.751609347028353
1.9084798299910667e-09,0.237,23.57929188586782
1.9325460309763864e-09,0.2444,24.136603839373667
1.970054750772341e-09,0.2359,23.49649210050393
2.014190622927372e-09,0.2356,23.47390219441076
2.028021109440906e-09,0.2606,25.358000060829408
1.9255453084196402e-09,0.2437,24.083865896404024
1.9382778215277396e-09,0.2506,24.60383838410428
1.9694070220815405e-09,0.2546,24.90542659599947
2.035629668065069e-09,0.2499,24.55107777487196
2.1226610408883823e-09,0.2652,25.70514227775717
2.209039866758875e-09,0.2515,24.6716944018689
2.294884162342338e-09,0.2627,25.516470648223514
2.3666995988181496e-09,0.2577,25.139219805274514
2.359365133950875e-09,0.2687,25.969363832213904
2.352012091743179e-09,0.2836,27.095025978451815
2.344794194339855e-09,0.3029,28.554996720127775
2.3980755663452257e-09,0.2828,27.034555396673863
2.4694532374976446e-09,0.3016,28.456584445576862
2.5431322471735023e-09,0.282,26.974078169648624
2.587864677916405e-09,0.3051,28.72154488543346
2.616613683333284e-09,0.3145,29.433429765684167
2.658563964439634e-09,0.3169,29.615256209075266
2.757375667407517e-09,0.3067,28.842677708707896
2.8064255294007977e-09,0.3083,28.963847013864136
2.8250286223602252e-09,0.289,27.503302772460852
2.8431062187316797e-09,0.3159,29.53950401814449
2.8229144796904788e-09,0.3198,29.835009440596465
2.6970191982510408e-09,0.299,28.259811790651256
2.8044511445204815e-09,0.3027,28.5398573884026
2.9312871050646296e-09,0.3312,30.699206592864233
3.0069625762771844e-09,0.3064,28.81997298942773
2.911462672320063e-09,0.3438,31.655030709267667
2.9195063561455794e-09,0.3537,32.40645253236032
2.9400242304643453e-09,0.3233,30.100271417687644
2.9637025705383015e-09,0.339,31.290819477026115
3.066049340946403e-09,0.3333,30.858461245515205
3.167441263983198e-09,0.3113,29.191047644197035
3.264345591788313e-09,0.3379,31.207377246095067
3.3528196382548198e-09,0.3497,32.102799175323014
3.443032377867466e-09,0.3647,33.24176532879725
3.4713040315605004e-09,0.3647,33.24176532879725
3.3973585232349305e-09,0.3591,32.81646096359284
3.3276142171465508e-09,0.3518,32.26220102896129
3.2941548886864305e-09,0.3566,32.62662947871122
3.3653940176860084e-09,0.3585,32.77090820583021
3.440029144562401e-09,0.3617,33.01390556691521
3.5151752673109666e-09,0.3701,33.65197593048762
3.748064019492446e-09,0.3787,34.30543979400231
3.745677178582174e-09,0.3877,34.98952085221558
3.741381265081787e-09,0.3974,35.72702934059139
3.78853884054521e-09,0.4041,36.23654213878287
3.905302839323795e-09,0.4186,37.33951138684752
3.8150236208428684e-09,0.4095,36.64726341955782
3.932202550921281e-09,0.428,38.05469646395564
4.086405256205722e-09,0.4207,37.49926439701314
4.239486632698292e-09,0.4399,38.960215702226435
4.391498824895525e-09,0.464,40.794302605420064
4.436604363287017e-09,0.4584,40.36811010066114
4.297414200991558e-09,0.4505,39.76688881154007
4.309960599670387e-09,0.4423,39.14284879679926
4.520429331337802e-09,0.4513,39.8277683060382
4.447243980360825e-09,0.4538,40.018031547386954
4.37413100196413e-09,0.4613,40.58882004082372
4.614694211873632e-09,0.4691,41.18243470914198
4.819091689285993e-09,0.4894,42.727216640141734
4.858583146558099e-09,0.4854,42.422850717116035
4.897202455293639e-09,0.5048,43.8988677541376
4.942331066303926e-09,0.4726,41.44879566106323
5.096911240153405e-09,0.518,44.90284908723335
5.311488242838943e-09,0.5601,48.102296805693726
4.994170938017876e-09,0.5555,47.752961697428425
4.049905819293776e-09,0.5158,44.73554459718155
3.822250934700254e-09,0.5177,44.88003815193693
4.0840975329047104e-09,0.552,47.48710912362594
4.338300708912287e-09,0.4748,41.61622305553811
4.206783231746722e-09,0.3819,34.54865309527606
4.282265948947506e-09,0.4481,39.584243374275566
5.207291940483343e-09,0.5144,44.629067210128014
4.972475238974393e-09,0.4901,42.78048460018619
5.407727922736055e-09,0.5754,49.2636958752641
5.925371720546038e-09,0.5984,51.00784774228695
6.427445077410145e-09,0.6661,56.126011155909524
6.571747314620094e-09,0.6641,55.97520828175346
6.7190550481926805e-09,0.6773,56.96998301582032
6.8350761566387696e-09,0.6621,55.82438110389954
6.920423633194016e-09,0.7063,59.15095133633405
7.366890107215067e-09,0.7508,62.48400712063722
7.399653277157571e-09,0.7224,60.35885556953998
6.931906920192307e-09,0.6751,56.80427296091803
6.486865019528385e-09,0.6311,53.48326719611133
6.453840705187308e-09,0.6757,56.84947070090342
6.358124889275974e-09,0.6682,56.28432610445027
6.308461947919204e-09,0.6513,55.009453431840846
6.490058862633675e-09,0.6765,56.90972893181061
6.721690766517694e-09,0.7152,59.81894389779613
6.45103282215085e-09,0.7119,59.571334832388466
5.8537277712756155e-09,0.764,63.46917358092996
4.551908074816315e-09,0.6443,54.48085688150511
4.372816022273411e-09,0.5274,45.61760626392277
4.595607983383965e-09,0.4752,41.64665759064434
4.03169648462223e-09,0.4559,40.17785874280907
3.6570466708950063e-09,0.3861,34.86789635525918
4.413343477344927e-09,0.4101,36.69289260992848
5.57797950636936e-09,0.6145,52.22732727352491
6.423052242834887e-09,0.6596,55.63581064040015
6.695989122589972e-09,0.7002,58.69273825845327
7.095746900380913e-09,0.7884,65.28559321214124
6.720245743557874e-09,0.8266,68.11629738593247
7.2734801617853485e-09,0.8705,71.34775430479321
7.483057515455147e-09,0.8869,72.54851832729368
7.092562284468409e-09,0.906,73.94228912583135
7.497312464938988e-09,0.9428,76.61274230385688
7.561919367810003e-09,0.9881,79.87118855778925
8.038322414298431e-09,1.0278,82.69872031170621
8.546412724271274e-09,1.0779,86.22668134605308
8.374665828612374e-09,1.0927,87.25982553792903
8.335525625415393e-09,1.1124,88.62836753365248
8.077984147308037e-09,1.1792,93.20983206426723
8.44724119912681e-09,1.2302,96.64284688069095
8.798502204788201e-09,1.2859,100.32409525637732
9.137616477365909e-09,1.333,103.37870585752773
9.47362218329736e-09,1.4057,107.98350185747967
9.60946765954828e-09,1.4609,111.38668061527832
9.73773932118701e-09,1.5213,115.01443578977391
1.0286214577752715e-08,1.5792,118.39469230810266
1.0772689655172414e-08,1.6365,121.64332360495881
1.1789812451624426e-08,1.7352,127.00692833821174
1.270928926010559e-08,1.8187,131.30869901667245
1.3122089009635872e-08,1.8881,134.7158023561198
1.3917801175033451e-08,1.9549,137.8488472013943
1.5000295498268567e-08,2.0441,141.80622763142836
1.4613922111656516e-08,2.0902,143.74944202531637
1.3670400273301827e-08,2.0653,142.70850482550858
1.449543544337254e-08,2.1465,146.02806133787965
1.4588311751771317e-08,2.2177,148.76087649854404
1.518920614716508e-08,2.2698,150.65550283069393
1.5576293976173163e-08,2.3326,152.82174570665921
1.530711071508131e-08,2.3537,153.52088876639547
1.506628702352137e-08,2.3655,153.90561994217154
1.4433768822047767e-08,2.412,155.37812134467455
1.4706594238683126e-08,2.43,155.92953354200316
1.5112245246975347e-08,2.4519,156.58650097290985
1.552493566193105e-08,2.4755,157.27742995782089
1.5819247096948417e-08,2.5238,158.63673301343536
1.601740821662667e-08,2.5756,160.01352718408373
1.6139707087624275e-08,2.6763,162.454046987694
1.6283164314587617e-08,2.7576,164.20194241901098
1.6699541532108632e-08,2.8129,165.28007291885382
1.7674099869979267e-08,2.8294259999999998,165.5851563083584
1.7735639666124208e-08,2.86198,166.1633955800069
1.7663933066062403e-08,2.833616,165.66126668779762
1.736434403598034e-08,2.8907979999999998,166.65034535779495
1.7715292204421992e-08,2.9418860000000002,167.45690130111115
1.8315561607943183e-08,2.973664,167.92256789621078
1.8001446900602874e-08,3.0341810000000002,168.7344618585481
1.8353341318184927e-08,3.132308,169.8479259435025
1.8584503270645954e-08,3.2284610000000002,170.70490198050024
1.8723836990595612e-08,3.340968,171.42819539944767
1.882796847635727e-08,3.39201,171.6614793528116
1.851119843486113e-08,3.4152769999999997,171.74884527817346
1.8565148376817365e-08,3.429203,171.79554985915686
1.85792750996738e-08,3.509382,171.98490854584455
1.8349291884816752e-08,3.549546,172.030169765147
1.8080862312832267e-08,3.6166160000000005,172.03475447630575
1.7657467875672793e-08,3.684569,171.95216352400496
1.7609601183108554e-08,3.6761790000000003,171.9669817358437
1.654000927361975e-08,3.553493,172.03287462123825
1.6939528625954198e-08,3.6086730000000005,172.03875070463152
1.6195473094808767e-08,3.6691,171.97848540699815
1.6086009061733057e-08,3.6571,171.99587585789192
1.6140354962907317e-08,3.6632,171.98736811475783
1.5376734274231235e-08,3.6527,172.00158555752066
1.5396391168758636e-08,3.6827,171.95557552290518
1.5095049174243832e-08,3.7124,171.8938845383801
1.4959395462887285e-08,3.7895,171.66106542504437
1.518864765890662e-08,3.8515919999999997,171.40023074129132
