En/CapFrance;GDP/CapFrance;ModelFrance;En/CapItaly;GDP/CapItaly;ModelItaly;En/CapNetherlands;GDP/CapNetherlands;ModelNetherlands;En/CapSpain;GDP/CapSpain;ModelSpain;En/CapUnited States;GDP/CapUnited States;ModelUnited States
1.70E-09;0.1809;19.36827239;1.73E-09;0.263435;13.89224586;3.14E-09;0.418449;41.96179266;1.63E-09;0.1706;11.44942939;9.48E-09;0.363182;85.88228642
1.71E-09;0.1953;20.44666062;1.72E-09;0.268811;14.20988152;3.13E-09;0.411052;41.2222659;1.59E-09;0.172;11.53044722;9.77E-09;0.416149;91.13061534
1.71E-09;0.1875;19.86230313;1.69E-09;0.264203;13.93761267;3.12E-09;0.433779;43.49555729;1.56E-09;0.1785;11.90669661;9.60E-09;0.440189;93.56019257
1.71E-09;0.1934;20.30427614;1.67E-09;0.278028;14.75482712;3.12E-09;0.424421;42.55911499;1.54E-09;0.1785;11.90669661;9.12E-09;0.463716;95.96573175
1.71E-09;0.1986;20.69404494;1.64E-09;0.258827;13.62010852;3.11E-09;0.444563;44.57534033;1.53E-09;0.1804;12.01671456;9.38E-09;0.4803;97.67755017
1.71E-09;0.1898;20.03456311;1.62E-09;0.261131;13.75615948;3.11E-09;0.418449;41.96179266;1.53E-09;0.1892;12.52646015;9.15E-09;0.510512;100.8295349
1.70E-09;0.1949;20.41667928;1.63E-09;0.262667;13.8468767;3.10E-09;0.421569;42.27382681;1.52E-09;0.18;11.99354459;9.44E-09;0.625573;113.2037495
1.69E-09;0.1908;20.10946563;1.63E-09;0.26958;14.25532675;3.10E-09;0.386275;38.74800753;1.51E-09;0.1742;11.65778024;9.54E-09;0.642414;115.0604376
1.68E-09;0.1897;20.02707015;1.64E-09;0.282636;15.02743672;3.16E-09;0.2632;26.54262678;1.51E-09;0.1774;11.84301209;1.06E-08;0.666455;117.7294085
1.68E-09;0.1946;20.39419695;1.64E-09;0.281112;14.93726183;3.36E-09;0.3011;30.28360955;1.50E-09;0.1862;12.35264529;1.05E-08;0.715951;123.2891189
1.68E-09;0.1898;20.03456311;1.65E-09;0.2593;13.64804235;3.35E-09;0.2869;28.87991306;1.51E-09;0.193;12.74668277;1.20E-08;0.803757;133.3436468
1.68E-09;0.1926;20.24432928;1.66E-09;0.2581;13.57718835;3.33E-09;0.2898;29.16639007;1.52E-09;0.1932;12.75827857;1.50E-08;0.912133;146.0261955
1.68E-09;0.2091;21.48180923;1.68E-09;0.2715;14.36881959;3.33E-09;0.2942;29.60123566;1.53E-09;0.1932;12.75827857;1.71E-08;0.963678;152.136997
1.71E-09;0.2053;21.19660138;1.71E-09;0.2727;14.43975626;3.36E-09;0.2807;28.26778439;1.53E-09;0.1959;12.91477121;1.67E-08;0.916418;146.5325543
1.75E-09;0.2056;21.21911334;1.74E-09;0.2662;14.05558715;3.39E-09;0.3006;30.23413892;1.52E-09;0.1946;12.83942046;1.90E-08;1.015293;158.2916402
1.78E-09;0.2125;21.73707911;1.73E-09;0.2678;14.15013678;3.41E-09;0.2947;29.65066047;1.52E-09;0.1865;12.37003062;1.83E-08;1.114977;170.2357073
1.82E-09;0.209;21.47429839;1.72E-09;0.2745;14.54618393;3.44E-09;0.2974;29.91762608;1.51E-09;0.1977;13.01912697;1.83E-08;1.069498;164.7807305
1.86E-09;0.2118;21.68451643;1.74E-09;0.2753;14.59348682;3.46E-09;0.3121;31.37258813;1.51E-09;0.1946;12.83942046;1.52E-08;0.968084;152.6611455
1.86E-09;0.2211;22.38320842;1.77E-09;0.2796;14.84781484;3.49E-09;0.31;31.16458726;1.50E-09;0.1701;11.42049976;1.81E-08;1.20051;180.491229
1.85E-09;0.213;21.7746389;1.80E-09;0.288;15.34490876;3.51E-09;0.3022;30.39244221;1.50E-09;0.176;11.76197176;2.22E-08;1.647755;232.1060452
1.84E-09;0.2276;22.8719421;1.83E-09;0.2915;15.55212601;3.54E-09;0.3068;30.84772753;1.49E-09;0.1809;12.04566691;2.12E-08;1.524;218.3824623
1.86E-09;0.2321;23.21048672;1.85E-09;0.2942;15.71202629;3.56E-09;0.325;32.65137147;1.48E-09;0.1948;12.85101755;2.27E-08;1.737;241.6128454
1.88E-09;0.226;22.75160935;1.86E-09;0.2898;15.4514695;3.58E-09;0.3319;33.33609496;1.46E-09;0.2246;14.58012176;2.34E-08;1.8057;248.6763047
1.91E-09;0.237;23.57929189;1.87E-09;0.2941;15.70610532;3.60E-09;0.3325;33.39565925;1.43E-09;0.2428;15.63769465;2.63E-08;2.139;279.2444141
1.93E-09;0.2444;24.13660384;1.88E-09;0.3005;16.08525816;3.60E-09;0.3038;30.55077834;1.42E-09;0.2216;14.40590138;2.74E-08;2.2529;288.1215314
1.97E-09;0.2359;23.4964921;1.92E-09;0.3081;16.53574593;3.56E-09;0.3264;32.79026228;1.43E-09;0.2276;14.75437306;2.81E-08;2.2842;290.4120226
2.01E-09;0.2356;23.47390219;1.96E-09;0.3065;16.44088256;3.52E-09;0.3417;34.3094413;1.45E-09;0.2346;15.16107296;2.95E-08;2.3691;296.2968414
2.03E-09;0.2606;25.35800006;2.00E-09;0.2971;15.88381076;3.49E-09;0.3341;33.5545194;1.45E-09;0.2601;16.64390917;3.08E-08;2.4195;299.5622825
1.93E-09;0.2437;24.0838659;1.97E-09;0.2974;15.90158358;3.45E-09;0.337;33.84250703;1.44E-09;0.2495;16.02727705;3.16E-08;2.3958;298.0479488
1.94E-09;0.2506;24.60383838;1.90E-09;0.3014;16.13859169;3.49E-09;0.336;33.74318756;1.44E-09;0.2316;14.98675161;3.20E-08;2.4394;300.8047256
1.97E-09;0.2546;24.9054266;1.89E-09;0.3017;16.15637033;3.55E-09;0.3472;34.85611701;1.45E-09;0.252;16.17268301;3.33E-08;2.5414;306.7569132
2.04E-09;0.2499;24.55107777;1.89E-09;0.3064;16.43495044;3.62E-09;0.3553;35.66176164;1.47E-09;0.2538;16.27738517;3.44E-08;2.6602;312.8186766
2.12E-09;0.2652;25.70514228;1.95E-09;0.3081;16.53574593;3.69E-09;0.359;36.02997074;1.47E-09;0.2547;16.32974527;3.32E-08;2.6286;311.2968886
2.21E-09;0.2515;24.6716944;1.91E-09;0.3107;16.68991228;3.75E-09;0.3588;36.01006866;1.46E-09;0.2582;16.53335504;3.21E-08;2.5956;309.6378267
2.29E-09;0.2627;25.51647065;1.86E-09;0.3153;16.96274754;3.82E-09;0.3623;36.35848292;1.45E-09;0.259;16.57990586;3.36E-08;2.7058;314.9002856
2.37E-09;0.2577;25.13921981;1.84E-09;0.3158;16.99241023;3.72E-09;0.3658;36.70700814;1.47E-09;0.2493;16.0156529;3.41E-08;2.8001;318.7829072
2.36E-09;0.2687;25.96936383;1.86E-09;0.3145;16.91529046;3.62E-09;0.3569;35.82097402;1.51E-09;0.2436;15.68420962;3.40E-08;2.9286;323.1844119
2.35E-09;0.2836;27.09502598;1.88E-09;0.318;17.12292789;3.52E-09;0.3507;35.20415958;1.53E-09;0.2381;15.3644828;3.40E-08;2.9949;325.069353
2.34E-09;0.3029;28.55499672;1.88E-09;0.3264;17.6214608;3.43E-09;0.354;35.53241957;1.53E-09;0.2475;15.91097435;3.25E-08;2.9611;324.1404539
2.40E-09;0.2828;27.0345554;1.87E-09;0.3317;17.9361483;3.44E-09;0.3515;35.28372616;1.52E-09;0.2469;15.87608364;3.13E-08;3.0056;325.3496918
2.47E-09;0.3016;28.45658445;1.86E-09;0.3371;18.25688024;3.46E-09;0.3521;35.34341301;1.53E-09;0.2463;15.841194;2.97E-08;2.921;322.9518472
2.54E-09;0.282;26.97407817;1.88E-09;0.3402;18.44104679;3.47E-09;0.3545;35.58216354;1.56E-09;0.2509;16.10870481;2.93E-08;3.0158;325.6108455
2.59E-09;0.3051;28.72154489;1.89E-09;0.3461;18.79165103;3.49E-09;0.3602;36.14941783;1.59E-09;0.2719;17.33069709;3.05E-08;3.2076;329.4564524
2.62E-09;0.3145;29.43342977;1.94E-09;0.3532;19.2137072;3.51E-09;0.3709;37.21505893;1.59E-09;0.2603;16.65555052;3.02E-08;3.3023;330.6515128
2.66E-09;0.3169;29.61525621;2.02E-09;0.3652;19.92739168;3.53E-09;0.3779;37.91274489;1.58E-09;0.2633;16.83011724;3.01E-08;3.385;331.3440976
2.76E-09;0.3067;28.84267771;2.10E-09;0.3716;20.30817948;3.58E-09;0.3834;38.46121351;1.60E-09;0.2589;16.57408553;3.08E-08;3.473;331.743884
2.81E-09;0.3083;28.96384701;2.16E-09;0.3795;20.77835084;3.63E-09;0.379;38.02241739;1.63E-09;0.233;15.06810161;3.19E-08;3.5863;331.7829298
2.83E-09;0.289;27.50330277;2.20E-09;0.3826;20.96289685;3.68E-09;0.3704;37.16523707;1.65E-09;0.2469;15.87608364;3.24E-08;3.6756;331.4655783
2.84E-09;0.3159;29.53950402;2.20E-09;0.3829;20.98075522;3.79E-09;0.3931;39.42909927;1.70E-09;0.2628;16.80102111;3.21E-08;3.6982;331.3397272
2.82E-09;0.3198;29.83500944;2.21E-09;0.387;21.2248513;3.91E-09;0.3824;38.36147741;1.75E-09;0.2636;16.84758189;3.18E-08;3.646396;331.601458
2.70E-09;0.299;28.25981179;2.27E-09;0.3875;21.25462169;4.03E-09;0.3977;39.88835385;1.81E-09;0.2676;17.08038891;3.19E-08;3.72403;331.1742936
2.80E-09;0.3027;28.53985739;2.33E-09;0.4057;22.33859016;4.08E-09;0.3907;39.18955073;1.89E-09;0.2885;18.29744123;3.23E-08;3.776154;330.7724935
2.93E-09;0.3312;30.69920659;2.24E-09;0.3835;21.01647253;4.05E-09;0.38;38.12212848;1.84E-09;0.274;17.45296749;3.26E-08;3.880728;329.7079515
3.01E-09;0.3064;28.81997299;2.22E-09;0.3642;19.8679025;4.02E-09;0.3665;36.77673166;1.76E-09;0.2713;17.29576628;3.29E-08;3.939063;328.9746969
2.91E-09;0.3438;31.65503071;2.18E-09;0.3942;21.65359727;3.99E-09;0.384;38.52105754;1.77E-09;0.266;16.98725222;3.36E-08;4.041275;327.4706834
2.92E-09;0.3537;32.40645253;2.00E-09;0.3955;21.73102304;4.03E-09;0.3735;37.47415169;1.80E-09;0.2622;16.76610442;3.34E-08;4.172267;325.1769951
2.94E-09;0.3233;30.10027142;2.14E-09;0.3856;21.14149458;4.08E-09;0.3881;38.93009516;1.83E-09;0.2775;17.65676429;3.32E-08;4.307276;322.4411635
2.96E-09;0.339;31.29081948;2.05E-09;0.3701;20.21892802;4.13E-09;0.3953;39.6487247;1.85E-09;0.2828;17.96540474;3.34E-08;4.457585;319.0244573
3.07E-09;0.3333;30.85846125;2.00E-09;0.3789;20.74264428;4.30E-09;0.4111;41.22706262;1.85E-09;0.2917;18.48386809;3.38E-08;4.588647;315.7837267
3.17E-09;0.3113;29.19104764;2.12E-09;0.366;19.97498378;4.49E-09;0.4117;41.28703945;1.87E-09;0.2978;18.83930784;3.26E-08;4.587801;315.8053196
3.26E-09;0.3379;31.20737725;2.24E-09;0.3928;21.57022723;4.67E-09;0.4272;42.83714667;1.92E-09;0.2823;17.93629562;3.28E-08;4.62663;314.8060435
3.35E-09;0.3497;32.10279918;2.36E-09;0.4248;23.47668152;4.75E-09;0.4127;41.38699829;1.97E-09;0.3027;19.12487642;3.26E-08;4.7158;312.4521231
3.44E-09;0.3647;33.24176533;2.47E-09;0.4324;23.92963636;4.81E-09;0.4152;41.63692436;1.97E-09;0.2915;18.47221161;3.30E-08;4.849272;308.7976192
3.47E-09;0.3647;33.24176533;2.46E-09;0.458;25.45559946;4.86E-09;0.4286;42.97723751;1.91E-09;0.3067;19.35803082;3.27E-08;4.965476;305.514531
3.40E-09;0.3591;32.81646096;2.64E-09;0.4576;25.4317548;4.91E-09;0.4422;44.33867908;1.84E-09;0.2962;18.74607175;3.21E-08;5.048986;303.1105558
3.33E-09;0.3518;32.26220103;2.74E-09;0.4454;24.70451595;4.94E-09;0.4364;43.75793159;1.92E-09;0.2973;18.81017171;3.23E-08;5.090174;301.9139602
3.29E-09;0.3566;32.62662948;2.59E-09;0.4693;26.1291881;4.89E-09;0.4414;44.25856534;1.97E-09;0.3076;19.41050093;3.12E-08;5.027575;303.7299166
3.37E-09;0.3585;32.77090821;2.66E-09;0.4889;27.29739121;4.84E-09;0.4503;45.15004166;2.01E-09;0.3014;19.04911565;2.94E-08;4.845293;308.908526
3.44E-09;0.3617;33.01390557;2.46E-09;0.4631;25.75961386;4.79E-09;0.4337;43.48765036;1.96E-09;0.2979;18.84514844;3.01E-08;4.926692;306.6191774
3.52E-09;0.3701;33.65197593;2.26E-09;0.4538;25.20523555;5.02E-09;0.4584;45.96173713;1.91E-09;0.3024;19.1073963;2.96E-08;4.9675;305.4566623
3.75E-09;0.3787;34.30543979;2.14E-09;0.4602;25.5867391;5.28E-09;0.4595;46.07199652;1.89E-09;0.3244;20.39006426;2.86E-08;5.0394;303.3880899
3.75E-09;0.3877;34.98952085;2.29E-09;0.4514;25.06216716;5.31E-09;0.4651;46.63338841;1.88E-09;0.3322;20.84500369;2.91E-08;5.0863;302.0267767
3.74E-09;0.3974;35.72702934;2.44E-09;0.4466;24.7760434;5.31E-09;0.4637;46.49302492;2.04E-09;0.3427;21.45752981;2.92E-08;5.1664;299.6841624
3.79E-09;0.4041;36.23654214;2.44E-09;0.467;25.99209034;5.32E-09;0.4414;44.25856534;2.16E-09;0.3433;21.49254774;2.87E-08;5.2591;296.9521643
3.91E-09;0.4186;37.33951139;2.17E-09;0.4471;24.80585178;5.40E-09;0.4666;46.78378325;2.26E-09;0.3518;21.98850702;2.85E-08;5.3015;295.6973747
3.82E-09;0.4095;36.64726342;2.50E-09;0.4879;27.23779101;5.49E-09;0.4694;47.06455871;2.06E-09;0.3725;23.19653715;2.84E-08;5.400777;292.752182
3.93E-09;0.428;38.05469646;2.50E-09;0.4981;27.84560951;5.58E-09;0.4758;47.70644838;2.05E-09;0.365;22.75880453;2.92E-08;5.533474;288.8128397
4.09E-09;0.4207;37.4992644;2.50E-09;0.5246;29.42407351;5.64E-09;0.5053;50.66715237;2.12E-09;0.3959;24.56235658;;;
4.24E-09;0.4399;38.9602157;2.63E-09;0.5099;28.54861277;5.49E-09;0.5085;50.98849044;2.16E-09;0.3907;24.25883098;;;
4.39E-09;0.464;40.79430261;2.52E-09;0.4967;27.76218583;5.34E-09;0.5137;51.51071024;2.17E-09;0.4173;25.81143508;;;
4.44E-09;0.4584;40.3681101;2.49E-09;0.4661;25.9384389;5.45E-09;0.5157;51.71157928;2.17E-09;0.3923;24.3522225;;;
4.30E-09;0.4505;39.76688881;1.81E-09;0.3931;21.58809154;5.66E-09;0.5223;52.37453322;2.10E-09;0.3787;23.55840197;;;
4.31E-09;0.4423;39.1428488;1.36E-09;0.3162;17.01613773;5.85E-09;0.5231;52.45489231;2.03E-09;0.3856;23.96115229;;;
4.52E-09;0.4513;39.82776831;1.34E-09;0.2831;15.05489329;5.78E-09;0.5349;53.64040069;1.96E-09;0.369;22.99225747;;;
